"Fecha","DiaSemana","Rango","Diario","CambioDiario","CambioSemanal","Cines","Promedio","Acumulado","Dia","Estimado","Pelicula"
2015-12-18,"Friday",1,119119282,0,0,4134,28814,119119282,1,"false","Ep. 7: The Force Awakens"
2015-12-19,"Saturday",1,68294204,-42.7,0,4134,16520,187413486,2,"false","Ep. 7: The Force Awakens"
2015-12-20,"Sunday",1,60553189,-11.3,0,4134,14647,247966675,3,"false","Ep. 7: The Force Awakens"
2015-12-21,"Monday",1,40109742,-33.8,0,4134,9702,288076417,4,"false","Ep. 7: The Force Awakens"
2015-12-22,"Tuesday",1,37361729,-6.9,0,4134,9037,325438146,5,"false","Ep. 7: The Force Awakens"
2015-12-23,"Wednesday",1,38022183,1.8,0,4134,9197,363460329,6,"false","Ep. 7: The Force Awakens"
2015-12-24,"Thursday",1,27395725,-27.9,0,4134,6626,390856054,7,"false","Ep. 7: The Force Awakens"
2015-12-25,"Friday",1,49325663,80,-58.6,4134,11931,440181717,8,"false","Ep. 7: The Force Awakens"
2015-12-26,"Saturday",1,56731532,15,-16.9,4134,13723,496913249,9,"false","Ep. 7: The Force Awakens"
2015-12-27,"Sunday",1,43145665,-23.9,-28.7,4134,10436,540058914,10,"false","Ep. 7: The Force Awakens"
2015-12-28,"Monday",1,31362029,-27.3,-21.8,4134,7586,571420943,11,"false","Ep. 7: The Force Awakens"
2015-12-29,"Tuesday",1,29528583,-5.8,-21,4134,7142,600949526,12,"false","Ep. 7: The Force Awakens"
2015-12-30,"Wednesday",1,28085057,-4.9,-26.1,4134,6793,629034583,13,"false","Ep. 7: The Force Awakens"
2015-12-31,"Thursday",1,22932686,-18.3,-16.3,4134,5547,651967269,14,"false","Ep. 7: The Force Awakens"
2016-01-01,"Friday",1,34394152,50,-30.3,4134,8319,686361421,15,"false","Ep. 7: The Force Awakens"
2016-01-02,"Saturday",1,34368250,0.1,-39.4,4134,8313,720729671,16,"false","Ep. 7: The Force Awakens"
2016-01-03,"Sunday",1,21479271,-37.5,-50.2,4134,5195,742208942,17,"false","Ep. 7: The Force Awakens"
2016-01-04,"Monday",1,8021882,-62.7,-74.4,4134,1940,750230824,18,"false","Ep. 7: The Force Awakens"
2016-01-05,"Tuesday",1,7967428,-0.7,-73,4134,1927,758198252,19,"false","Ep. 7: The Force Awakens"
2016-01-06,"Wednesday",1,6210432,-22.1,-77.9,4134,1502,764408684,20,"false","Ep. 7: The Force Awakens"
2016-01-07,"Thursday",1,5972359,-3.8,-74,4134,1444,770381043,21,"false","Ep. 7: The Force Awakens"
2016-01-08,"Friday",2,10744380,79.9,-68.8,4134,2599,781125423,22,"false","Ep. 7: The Force Awakens"
2016-01-09,"Saturday",1,19204072,78.7,-44.1,4134,4645,800329495,23,"false","Ep. 7: The Force Awakens"
2016-01-10,"Sunday",1,12405333,-35.4,-42.2,4134,3000,812734828,24,"false","Ep. 7: The Force Awakens"
2016-01-11,"Monday",2,3108701,-74.9,-61.2,4134,751,815843529,25,"false","Ep. 7: The Force Awakens"
2016-01-12,"Tuesday",2,3844408,23.7,-51.7,4134,929,819687937,26,"false","Ep. 7: The Force Awakens"
2016-01-13,"Wednesday",2,3114937,-19,-49.8,4134,753,822802874,27,"false","Ep. 7: The Force Awakens"
2016-01-14,"Thursday",2,3129967,0.5,-47.6,4134,757,825932841,28,"false","Ep. 7: The Force Awakens"
2016-01-15,"Friday",3,6328954,102.2,-41.1,3822,1655,832261795,29,"false","Ep. 7: The Force Awakens"
2016-01-16,"Saturday",3,11028514,74.3,-42.6,3822,2885,843290309,30,"false","Ep. 7: The Force Awakens"
