Palabra,Puntuacion,Word
a bordo,1,aboard
abandona,-2,abandons
abandonado,-2,abandoned
abandonar,-2,abandon
abatido,-2,dejected
abatido,-3,despondent
aborrece,-3,abhors
aborrecer,-3,abhor
aborrecible,-3,abhorrent
aborrecido,-3,abhorred
adoptar,1,embrace
abrazo,2,hug
abrazos,2,hugs
abriga,2,cherishes
absolver,2,absolve
absolver,2,acquit
absolviendo,2,absolving
absolviendo,2,acquitting
absorbido,1,absorbed
absorto,1,engrossed
absueltos,2,absolved
absuelve,2,absolves
absuelve,2,acquits
aburrido,-2,bored
aburrido,-3,boring
aburrido,-2,dull
aburrir,-2,bore
abusado,-3,abused
abusivo,-3,abusive
abuso,-3,abuse
abusos,-3,abuses
acaparador,-2,profiteer
acaparamiento,-2,monopolizing
accidental,-2,accidental
accidentalmente,-2,accidentally
accidente,-2,accident
accidentes,-2,accidents
acepta,1,accepts
aceptado,1,accepted
aceptado,-1,admitted
aceptar,1,accept
aceptar,1,accepting
aclamaciones,2,cheers
aclara,2,clarifies
acosado,-2,bullied
acosado,-2,harried
acoso,-2,bullying
activo,1,active
activo,2,asset
acuchillado,-2,stabbed
acuerdo,1,agreement
acusa,-2,accuses
acusación,-2,accusation
acusaciones,-2,accusations
acusado,-2,accused
acusando,-2,accusing
acusar,-2,accuse
adecuado,1,adequate
admira,3,admires
admirar,3,admire
admirativo,3,admiring
admite,-1,admits
admitir,-1,admit
adoctrina,-2,indoctrinates
adoctrinados,-2,indoctrinated
adoctrinar,-2,indoctrinate
adoctrinar,-2,indoctrinating
adopta,1,adopts
adoptar,1,adopt
adora,3,adores
adorable,3,adorable
adorado,3,adored
adorado,3,worshiped
adorar,3,adore
advertencia,-3,warning
advertencias,-3,warnings
advertir,-2,warn
advierte,-2,warns
afable,2,suave
afectado,-1,affected
afecto,3,affection
aficionado,2,fond
afilado,1,keen
afirmativamente,2,positively
afligido,-1,afflicted
afligido,-2,bereaved
afligido,-2,distressed
afligido,-2,stricken
afortunado,2,fortunate
afrentado,-1,affronted
agobiados,-2,burdened
agoniza,-3,agonises
agoniza,-3,agonizes
agonizado,-3,agonised
agonizado,-3,agonized
agonizante,-3,agonising
agonizante,-3,agonizing
agonizar,-3,agonise
agonizar,-3,agonize
agotado,-2,drained
agotado,-2,exhausted
agradable,2,agreeable
agradable,3,pleasant
agradecido,3,grateful
agradecido,2,thankful
agrava,-2,aggravates
agravado,-2,aggravated
agravante,-2,aggravating
agravar,-2,aggravate
agresión,-2,aggression
agresiones,-2,aggressions
agresivo,-2,aggressive
agresor,-1,attacking
aguante,2,stamina
ahogar,-2,drown
ahogo,-2,choke
ahogue,-2,drowned
airado,-3,irate
aislado,-1,isolated
ajuste,1,fit
alabado,3,praised
alabando,3,praising
alabanza,3,praise
alabanzas,3,praises
alarma,-2,alarm
alarmado,-2,alarmed
alarmista,-2,alarmist
alarmistas,-2,alarmists
alboroto,-2,riot
alcances,1,reaches
alcanzado,1,reached
alcanzar,1,reach
aleccionadora,1,sobering
alegrarse,4,rejoice
alegre,2,blithe
alegre,2,cheerful
alegre,3,cheery
alegre,2,convivial
alegre,3,glad
alegre,2,jaunty
alegre,2,jolly
alegre,3,joyful
alegre,1,lighthearted
alegre,3,merry
alegre,3,mirthful
alegremente,3,joyfully
alegría,3,glee
alegría,3,joy
alegría,3,mirth
alegría,4,rejoicing
alentado,2,encouraged
alentar,2,encourage
alérgico,-2,allergic
alerta,-1,alert
alfombrilla de ratón,-1,lurking
algún tipo,0,some kind
alicaído,-2,downcast
alienación,-2,alienation
alienta,2,encourages
aliviado,2,relieved
aliviado,3,soothed
aliviar,1,relieve
amable,3,lovable
amado,3,beloved
amado,3,loved
amargado,-2,embittered
amargamente,-2,bitterly
amargo,-2,bitter
ambicioso,2,ambitious
ambivalente,-1,ambivalent
amenaza,-2,menace
amenaza,-2,threat
amenaza,-2,threatens
amenazado,-2,menaced
amenazados,-2,threatened
amenazante,-2,threatening
amenazar,-2,threaten
amenazas,-2,threats
amistoso,2,friendly
amonestado,-2,admonished
amonestar,-2,admonish
amontonar,-1,pileup
amor,3,love
amordazado,-2,gagged
amoroso,2,loving
ampliar,1,extend
analfabetismo,-2,illiteracy
Angers,-3,angers
angustia,-3,anguish
angustia,-2,distress
angustiado,-3,anguished
angustias,-2,distresses
angustioso,-2,distressing
angustioso,-3,heartbreaking
ansia,-1,longing
anhelo,1,yearning
animado,2,cheered
animado,2,lively
animado,2,sprightly
animar,2,cheer
ánimo,2,encouragement
animosidad,-2,animosity
ansiedad,-2,anxiety
ansioso,-2,anxious
ansioso,2,eager
antagonista,-2,antagonistic
anti,-1,anti
anticipación,1,anticipation
apaciguado,2,appeased
apaciguamiento,2,appeasing
apaciguar,2,appease
aparejado,-1,rigged
aparejo,-1,rig
apasionado,2,passionate
apatía,-3,apathy
apático,-3,apathetic
apenado,-2,grieved
apeshit,-3,apeshit
aplaca,2,appeases
aplasta,-1,crushes
aplastada,-2,crushed
aplastante,-1,crushing
aplastar,-1,crush
aplaude,2,applauds
aplaudida,2,applauded
aplaudiendo,2,applauding
aplaudir,2,applaud
aplausos,2,applause
aplausos,2,cheering
aplazar,-1,defer
apocalíptico,-2,apocalyptic
apoyo,2,backing
apoyo,2,support
apoyo,2,supportive
aprecia,2,appreciates
apreciación,2,appreciation
apreciado,2,appreciated
apreciado,-2,unappreciated
apreciando,2,appreciating
apreciando,2,cherishing
apreciar,2,appreciate
apreciar,2,cherish
aprensivo,-2,apprehensive
aprobación,2,approval
aprobación,2,endorsement
aprobado,2,approved
aprueba,2,approves
aptitud,1,fitness
ardiente,1,ardent
arrastra,-1,drags
arrastrado,-1,dragged
arrastrar,-1,drag
arreglado,-1,made-up
arrepentido,-2,regretful
arrepentimientos,-2,regrets
arrestar,-2,arrest
arrinconado,-2,cornered
arrogante,-2,arrogant
arruinado,-3,bankrupt
arruinado,-2,ruined
arruinando,-2,ruining
asco,-3,disgust
asegura,2,secures
asegurado,2,secured
asegurando,1,ensuring
asegurar,1,ensure
asesinato,-3,assassination
asesinato,-3,killing
asesinato,-2,murder
asesinato,-3,murdering
asesinatos,-3,assassinations
asesinatos,-2,murders
asesino,-2,murderer
asesino,-3,murderous
asfixia,-2,choking
asombra,3,astounds
asombrado,2,amazed
asombrado,2,astonished
asombrado,3,astounded
asombrar,3,astound
asombro,2,amaze
asombroso,4,amazing
asombroso,3,astounding
asombroso,5,breathtaking
asqueroso,-3,disgusting
asqueroso,-3,nasty
asqueroso,-2,yucky
assfucking,-4,assfucking
astucia,-2,trickery
astuto,-2,dodgy
asuntos,1,matters
asustadizo,-1,jumpy
asustado,-2,afraid
asustado,-2,frightened
asustado,-2,scared
atacado,-1,attacked
ataque,-1,attack
ataques,-1,attacks
atascado,-2,stuck
aterrado,-2,appalled
aterrador,-3,frightening
aterroriza,-3,terrorizes
aterrorizado,-3,terrified
aterrorizado,-3,terrorized
aterrorizar,-3,terrorize
atornillado,-2,screwed
atracción,2,attraction
atracciones,2,attractions
atractivo,3,glamorous
atractivo,1,inviting
atrae,1,attracts
atraer,1,attract
atraído,1,attracted
atrapado,-2,trapped
atrayendo,2,attracting
atrevido,2,daring
atropello,-3,outrage
aturdido,-2,stunned
audaz,3,audacious
audaz,2,fearless
aumenta,1,boosts
aumentado,1,increased
aumentar,1,boost
ausencia,-2,lack
ausente,-1,absentee
ausentes,-1,absentees
autoengañada,-2,self-deluded
autor,-2,perpetrator
autores,-2,perpetrators
autoridad,1,authority
avanzado,1,advanced
aventuras,2,adventure
aventuras,2,adventures
aventurero,2,adventurous
avergonzado,-2,ashamed
avergonzar,-2,embarrass
aversión,-3,loathing
ávido,2,avid
axed,-1,axed
Ay,-1,alas
ayuda,2,help
ayuda,2,helps
Bamboozles,-2,bamboozles
bancadas,-2,thwarts
bankster,-3,bankster
barra oblicua,-2,slash
barras,-2,slashes
barrera,-2,barrier
Bastardo,-5,bastard
bastardos,-5,bastards
batalla,-1,battle
batallas,-1,battles
beatífico,3,beatific
bellezas,3,beauties
bendecir,2,bless
bendice,2,blesses
bendición,3,blessing
bendición,4,godsend
beneficiado,2,benefitted
beneficiando,2,benefitting
beneficio,2,benefit
beneficios,2,benefits
bereaves,-2,bereaves
bereaving,-2,bereaving
Beso,2,kiss
bienes,2,assets
bienvenida,2,welcomed
Bienvenido,2,welcome
bloquear,-1,block
bloqueo,-1,blocking
bloques,-1,blocks
boicoteado,-2,boycotted
boicoteando,-2,boycotting
boicotear,-2,boycott
boicots,-2,boycotts
bomba,-1,bomb
bondad,3,goodness
bonita,1,pretty
bonito,3,nice
borra,1,clears
borracho,-2,drunk
borroso,-2,blurry
boyante,2,buoyant
brillante,1,bright
brillante,4,brilliant
brillar,3,sparkle
brillo,1,brightness
broma,2,joke
bruto,-2,gross
bueno,3,good
buque insignia,2,flagship
bureado,-2,tricked
burla,-2,derision
burla,-2,mocks
burlado,-2,mocked
burlarse de,-2,mock
burlón,-2,mocking
burro,-4,jackass
cabezas de turco,-2,scapegoats
cabildeo,-2,lobbying
cabizbajo,-2,crestfallen
Cabron,-4,fucker
Cabrón,-3,dumbass
cadáver,-1,corpse
cagado,-3,screwed up
caído,-2,droopy
caído,-2,fallen
caído en desgracia,-2,disgraced
calambre,-1,cramp
calentar,1,warm
calma,2,calm
calma,2,calms
calmado,2,calmed
calmante,2,calming
calmante,3,soothing
calmar,3,soothe
calor,2,warmth
cancela,-1,cancels
cancelado,-1,cancelled
cancelado,-1,cancelling
cancelar,-1,cancel
cáncer,-1,cancer
candidez,-2,gullibility
cansado,-2,tired
cansado,-2,weary
caos,-2,chaos
caótico,-2,chaotic
capacidad,2,ability
capaz,1,capable
caprichoso,1,whimsical
carcajadas,-2,screams
carga,-2,burden
cargado,-3,charged
cargas,-2,burdens
cargos,-2,charges
cariño,2,fondness
cariñoso,3,affectionate
caro,3,dearly
Caso omiso,-2,disregarding
castiga,-3,chastises
castiga,-2,punishes
castigado,-3,chastised
castigado,-2,punished
castigadora,-3,chastising
castigar,-3,chastise
castigar,-2,punish
catástrofe,-3,catastrophe
catastrófico,-4,catastrophic
cauteloso,-1,cautious
cautivado,3,captivated
cautivar,3,enthral
celebra,3,celebrates
celebrado,3,celebrated
celebrando,3,celebrating
celebrar,3,celebrate
celestial,4,heavenly
celos,-1,envying
celoso,-2,jealous
celoso,2,zealous
censores,-2,censors
