"Fecha","DiaSemana","Rango","Diario","CambioDiario","CambioSemanal","Cines","Promedio","Acumulado","Dia","Estimado","Pelicula","Year","Estreno","YearEstreno"
2008-05-01,"Thursday",1,3500000,0,0,2500,1400,3500000,0,"true","Iron Man",2008,2008-05-01,2008
2008-05-02,"Friday",1,35234361,906.7,0,4105,8583,38734361,1,"false","Iron Man",2008,2008-05-01,2008
2008-05-03,"Saturday",1,37350099,6,0,4105,9098,76084460,2,"false","Iron Man",2008,2008-05-01,2008
2008-05-04,"Sunday",1,26034208,-30.3,0,4105,6342,102118668,3,"false","Iron Man",2008,2008-05-01,2008
2008-05-05,"Monday",1,6934568,-73.4,0,4105,1689,109053236,4,"false","Iron Man",2008,2008-05-01,2008
2008-05-06,"Tuesday",1,6505784,-6.2,0,4105,1584,115559020,5,"false","Iron Man",2008,2008-05-01,2008
2008-05-07,"Wednesday",1,5747344,-11.7,0,4105,1400,121306364,6,"false","Iron Man",2008,2008-05-01,2008
2008-05-08,"Thursday",1,5328031,-7.3,52.2,4105,1297,126634395,7,"false","Iron Man",2008,2008-05-01,2008
2008-05-09,"Friday",1,14873192,179.1,-57.8,4111,3617,141507587,8,"false","Iron Man",2008,2008-05-01,2008
2008-05-10,"Saturday",1,21374629,43.7,-42.8,4111,5199,162882216,9,"false","Iron Man",2008,2008-05-01,2008
2008-05-11,"Sunday",1,14942808,-30.1,-42.6,4111,3634,177825024,10,"false","Iron Man",2008,2008-05-01,2008
2008-05-12,"Monday",1,3850844,-74.2,-44.5,4111,936,181675868,11,"false","Iron Man",2008,2008-05-01,2008
2008-05-13,"Tuesday",1,3357146,-12.8,-48.4,4111,816,185033014,12,"false","Iron Man",2008,2008-05-01,2008
2008-05-14,"Wednesday",1,3082988,-8.2,-46.4,4111,749,188116002,13,"false","Iron Man",2008,2008-05-01,2008
2008-05-15,"Thursday",1,3169387,2.8,-40.5,4111,770,191285389,14,"false","Iron Man",2008,2008-05-01,2008
2008-05-16,"Friday",2,8659239,173.2,-41.8,4154,2084,199944628,15,"false","Iron Man",2008,2008-05-01,2008
2008-05-17,"Saturday",2,13431355,55.1,-37.2,4154,3233,213375983,16,"false","Iron Man",2008,2008-05-01,2008
2008-05-18,"Sunday",2,9748402,-27.4,-34.8,4154,2346,223124385,17,"false","Iron Man",2008,2008-05-01,2008
2008-05-19,"Monday",2,3072182,-68.5,-20.2,4154,739,226196567,18,"false","Iron Man",2008,2008-05-01,2008
2008-05-20,"Tuesday",2,2219928,-27.7,-33.9,4154,534,228416495,19,"false","Iron Man",2008,2008-05-01,2008
2008-05-21,"Wednesday",2,1926258,-13.2,-37.5,4154,463,230342753,20,"false","Iron Man",2008,2008-05-01,2008
2008-05-22,"Thursday",3,1824663,-5.3,-42.4,4154,439,232167416,21,"false","Iron Man",2008,2008-05-01,2008
2008-05-23,"Friday",3,5437126,198,-37.2,3915,1388,237604542,22,"false","Iron Man",2008,2008-05-01,2008
2008-05-24,"Saturday",3,7898842,45.3,-41.2,3915,2017,245503384,23,"false","Iron Man",2008,2008-05-01,2008
2008-05-25,"Sunday",3,7111285,-10,-27.1,3915,1816,252614669,24,"false","Iron Man",2008,2008-05-01,2008
2008-05-26,"Monday",3,5663877,-20.4,84.4,3915,1446,258278546,25,"false","Iron Man",2008,2008-05-01,2008
2008-05-27,"Tuesday",3,1561073,-72.4,-29.7,3915,398,259839619,26,"false","Iron Man",2008,2008-05-01,2008
2008-05-28,"Wednesday",3,1395588,-10.6,-27.5,3915,356,261235207,27,"false","Iron Man",2008,2008-05-01,2008
2008-05-29,"Thursday",3,1389865,-0.4,-23.8,3915,355,262625072,28,"false","Iron Man",2008,2008-05-01,2008
2008-05-30,"Friday",4,3783237,172.2,-30.4,3650,1036,266408309,29,"false","Iron Man",2008,2008-05-01,2008
2008-05-31,"Saturday",4,6068126,60.4,-23.2,3650,1662,272476435,30,"false","Iron Man",2008,2008-05-01,2008
2008-06-01,"Sunday",4,3689901,-39.2,-48.1,3650,1010,276166336,31,"false","Iron Man",2008,2008-05-01,2008
2008-06-02,"Monday",4,1230719,-66.6,-78.3,3650,337,277397055,32,"false","Iron Man",2008,2008-05-01,2008
2008-06-03,"Tuesday",4,1336009,8.6,-14.4,3650,366,278733064,33,"false","Iron Man",2008,2008-05-01,2008
